# Astronomical Silicates according to Draine.
#
# Wavelengths are in meters.
#
#Wavelength,Re(EPS),Im(EPS)
3.7500000e-06,2.8287210e+00,1.3598274e-01
3.8000000e-06,2.8247017e+00,1.3638453e-01
3.8500000e-06,2.8205620e+00,1.3675069e-01
3.9000000e-06,2.8162887e+00,1.3708100e-01
3.9500000e-06,2.8118691e+00,1.3737522e-01
4.0000000e-06,2.8072901e+00,1.3763312e-01
4.0500000e-06,2.8025407e+00,1.3785564e-01
4.1000000e-06,2.7976155e+00,1.3804835e-01
4.1500000e-06,2.7925109e+00,1.3821798e-01
4.2000000e-06,2.7872221e+00,1.3837120e-01
4.2500000e-06,2.7817459e+00,1.3851471e-01
4.3000000e-06,2.7760780e+00,1.3865513e-01
4.3500000e-06,2.7702148e+00,1.3879910e-01
4.4000000e-06,2.7641528e+00,1.3895319e-01
4.4500000e-06,2.7578878e+00,1.3912396e-01
4.5000000e-06,2.7514161e+00,1.3931793e-01
4.5500000e-06,2.7447346e+00,1.3954157e-01
4.6000000e-06,2.7378393e+00,1.3980132e-01
4.6500000e-06,2.7307265e+00,1.4010357e-01
4.7000000e-06,2.7233927e+00,1.4045466e-01
4.7500000e-06,2.7158348e+00,1.4086089e-01
4.8000000e-06,2.7080488e+00,1.4132849e-01
4.8500000e-06,2.7000319e+00,1.4186365e-01
4.9000000e-06,2.6917802e+00,1.4247247e-01
4.9500000e-06,2.6832912e+00,1.4316102e-01
5.0000000e-06,2.6745609e+00,1.4393528e-01
5.0500000e-06,2.6655899e+00,1.4479762e-01
5.1000000e-06,2.6563923e+00,1.4573622e-01
5.1500000e-06,2.6469863e+00,1.4673582e-01
5.2000000e-06,2.6373885e+00,1.4778123e-01
5.2500000e-06,2.6276172e+00,1.4885739e-01
5.3000000e-06,2.6176893e+00,1.4994934e-01
5.3500000e-06,2.6076222e+00,1.5104228e-01
5.4000000e-06,2.5974333e+00,1.5212150e-01
5.4500000e-06,2.5871394e+00,1.5317244e-01
5.5000000e-06,2.5767579e+00,1.5418068e-01
5.5500000e-06,2.5663057e+00,1.5513195e-01
5.6000000e-06,2.5557993e+00,1.5601208e-01
5.6500000e-06,2.5452555e+00,1.5680708e-01
5.7000000e-06,2.5346907e+00,1.5750308e-01
5.7500000e-06,2.5241220e+00,1.5808638e-01
5.8000000e-06,2.5135652e+00,1.5854339e-01
5.8500000e-06,2.5030366e+00,1.5886067e-01
5.9000000e-06,2.4925521e+00,1.5902488e-01
5.9500000e-06,2.4821278e+00,1.5902286e-01
6.0000000e-06,2.4717798e+00,1.5884154e-01
6.0500000e-06,2.4615026e+00,1.5847685e-01
6.1000000e-06,2.4512081e+00,1.5796022e-01
6.1500000e-06,2.4407886e+00,1.5733166e-01
6.2000000e-06,2.4301369e+00,1.5663086e-01
6.2500000e-06,2.4191473e+00,1.5589722e-01
6.3000000e-06,2.4077144e+00,1.5516974e-01
6.3500000e-06,2.3957344e+00,1.5448711e-01
6.4000000e-06,2.3831048e+00,1.5388755e-01
6.4500000e-06,2.3697244e+00,1.5340882e-01
6.5000000e-06,2.3554932e+00,1.5308803e-01
6.5500000e-06,2.3403134e+00,1.5296164e-01
6.6000000e-06,2.3240885e+00,1.5306524e-01
6.6500000e-06,2.3067252e+00,1.5343350e-01
6.7000000e-06,2.2881309e+00,1.5409986e-01
6.7500000e-06,2.2682172e+00,1.5509652e-01
6.8000000e-06,2.2468976e+00,1.5645407e-01
6.8500000e-06,2.2240887e+00,1.5820139e-01
6.9000000e-06,2.1997108e+00,1.6036535e-01
6.9500000e-06,2.1736884e+00,1.6297058e-01
7.0000000e-06,2.1459490e+00,1.6603916e-01
7.0500000e-06,2.1164680e+00,1.6960082e-01
7.1000000e-06,2.0853922e+00,1.7372390e-01
7.1500000e-06,2.0529075e+00,1.7848361e-01
7.2000000e-06,2.0191970e+00,1.8395143e-01
7.2500000e-06,1.9844388e+00,1.9019508e-01
7.3000000e-06,1.9488056e+00,1.9727862e-01
7.3500000e-06,1.9124647e+00,2.0526250e-01
7.4000000e-06,1.8755762e+00,2.1420374e-01
7.4500000e-06,1.8382937e+00,2.2415625e-01
7.5000000e-06,1.8007624e+00,2.3517107e-01
7.5500000e-06,1.7631197e+00,2.4729678e-01
7.6000000e-06,1.7254941e+00,2.6057999e-01
7.6500000e-06,1.6880047e+00,2.7506579e-01
7.7000000e-06,1.6507614e+00,2.9079837e-01
7.7500000e-06,1.6138638e+00,3.0782172e-01
7.8000000e-06,1.5774014e+00,3.2618035e-01
7.8500000e-06,1.5414528e+00,3.4591991e-01
7.9000000e-06,1.5060861e+00,3.6708836e-01
7.9500000e-06,1.4713580e+00,3.8973664e-01
8.0000000e-06,1.4373142e+00,4.1391980e-01
8.0500000e-06,1.4039869e+00,4.3968035e-01
8.1000000e-06,1.3713907e+00,4.6699731e-01
8.1500000e-06,1.3395332e+00,4.9584190e-01
8.2000000e-06,1.3084158e+00,5.2619576e-01
8.2500000e-06,1.2780351e+00,5.5805161e-01
8.3000000e-06,1.2483849e+00,5.9141399e-01
8.3500000e-06,1.2194547e+00,6.2629954e-01
8.4000000e-06,1.1912320e+00,6.6273784e-01
8.4500000e-06,1.1637024e+00,7.0077160e-01
8.5000000e-06,1.1368501e+00,7.4045723e-01
8.5500000e-06,1.1106597e+00,7.8186557e-01
8.6000000e-06,1.0851162e+00,8.2508197e-01
8.6500000e-06,1.0602063e+00,8.7020705e-01
8.7000000e-06,1.0359188e+00,9.1735680e-01
8.7500000e-06,1.0122465e+00,9.6666327e-01
8.8000000e-06,9.8918628e-01,1.0182748e+00
8.8500000e-06,9.6674056e-01,1.0723563e+00
8.9000000e-06,9.4491839e-01,1.1290899e+00
8.9500000e-06,9.2373617e-01,1.1886749e+00
9.0000000e-06,9.0321951e-01,1.2513284e+00
9.0500000e-06,8.8345423e-01,1.3171751e+00
9.1000000e-06,8.6476139e-01,1.3859113e+00
9.1500000e-06,8.4758352e-01,1.4571211e+00
9.2000000e-06,8.3243983e-01,1.5303773e+00
9.2500000e-06,8.1992682e-01,1.6052340e+00
9.3000000e-06,8.1071623e-01,1.6812179e+00
9.3500000e-06,8.0555122e-01,1.7578194e+00
9.4000000e-06,8.0524171e-01,1.8344845e+00
9.4500000e-06,8.1065602e-01,1.9106044e+00
9.5000000e-06,8.2271364e-01,1.9855072e+00
9.5500000e-06,8.4187636e-01,2.0584850e+00
9.6000000e-06,8.6658255e-01,2.1289024e+00
9.6500000e-06,8.9461129e-01,2.1960977e+00
9.7000000e-06,9.2356800e-01,2.2593740e+00
9.7500000e-06,9.5143376e-01,2.3182705e+00
9.8000000e-06,9.7824239e-01,2.3733443e+00
9.8500000e-06,1.0045852e+00,2.4254584e+00
9.9000000e-06,1.0310876e+00,2.4755289e+00
9.9500000e-06,1.0584057e+00,2.5245176e+00
1.0000000e-05,1.0872273e+00,2.5734282e+00
1.0050000e-05,1.1181426e+00,2.6230987e+00
1.0100000e-05,1.1512431e+00,2.6735735e+00
1.0150000e-05,1.1864891e+00,2.7246892e+00
1.0200000e-05,1.2238367e+00,2.7762753e+00
1.0250000e-05,1.2632379e+00,2.8281543e+00
1.0300000e-05,1.3046380e+00,2.8801412e+00
1.0350000e-05,1.3479780e+00,2.9320446e+00
1.0400000e-05,1.3931915e+00,2.9836658e+00
1.0450000e-05,1.4402062e+00,3.0347998e+00
1.0500000e-05,1.4889424e+00,3.0852353e+00
1.0550000e-05,1.5393133e+00,3.1347550e+00
1.0600000e-05,1.5912245e+00,3.1831360e+00
1.0650000e-05,1.6445742e+00,3.2301505e+00
1.0700000e-05,1.6992520e+00,3.2755656e+00
1.0750000e-05,1.7551398e+00,3.3191446e+00
1.0800000e-05,1.8121109e+00,3.3606468e+00
1.0850000e-05,1.8700303e+00,3.3998288e+00
1.0900000e-05,1.9287552e+00,3.4364445e+00
1.0950000e-05,1.9881334e+00,3.4702472e+00
1.1000000e-05,2.0480050e+00,3.5009880e+00
1.1050000e-05,2.1082180e+00,3.5284665e+00
1.1100000e-05,2.1686800e+00,3.5526756e+00
1.1150000e-05,2.2293147e+00,3.5736617e+00
1.1200000e-05,2.2900458e+00,3.5914778e+00
1.1250000e-05,2.3507973e+00,3.6061826e+00
1.1300000e-05,2.4114940e+00,3.6178405e+00
1.1350000e-05,2.4720613e+00,3.6265213e+00
1.1400000e-05,2.5324258e+00,3.6322999e+00
1.1450000e-05,2.5925149e+00,3.6352557e+00
1.1500000e-05,2.6522581e+00,3.6354731e+00
1.1550000e-05,2.7115863e+00,3.6330407e+00
1.1600000e-05,2.7704318e+00,3.6280509e+00
1.1650000e-05,2.8287289e+00,3.6206001e+00
1.1700000e-05,2.8864146e+00,3.6107884e+00
1.1750000e-05,2.9434274e+00,3.5987191e+00
1.1800000e-05,2.9997084e+00,3.5844984e+00
1.1850000e-05,3.0552010e+00,3.5682358e+00
1.1900000e-05,3.1098514e+00,3.5500434e+00
1.1950000e-05,3.1636081e+00,3.5300357e+00
1.2000000e-05,3.2164224e+00,3.5083296e+00
1.2050000e-05,3.2682400e+00,3.4850264e+00
1.2100000e-05,3.3189733e+00,3.4601583e+00
1.2150000e-05,3.3685273e+00,3.4337426e+00
1.2200000e-05,3.4168072e+00,3.4057987e+00
1.2250000e-05,3.4637176e+00,3.3763476e+00
1.2300000e-05,3.5091648e+00,3.3454134e+00
1.2350000e-05,3.5530548e+00,3.3130217e+00
1.2400000e-05,3.5952949e+00,3.2792008e+00
1.2450000e-05,3.6357926e+00,3.2439807e+00
1.2500000e-05,3.6744567e+00,3.2073937e+00
1.2550000e-05,3.7111976e+00,3.1694744e+00
1.2600000e-05,3.7459270e+00,3.1302593e+00
1.2650000e-05,3.7785566e+00,3.0897866e+00
1.2700000e-05,3.8090008e+00,3.0480968e+00
1.2750000e-05,3.8371761e+00,3.0052324e+00
1.2800000e-05,3.8630004e+00,2.9612377e+00
1.2850000e-05,3.8863926e+00,2.9161583e+00
1.2900000e-05,3.9072756e+00,2.8700423e+00
1.2950000e-05,3.9255732e+00,2.8229390e+00
1.3000000e-05,3.9412126e+00,2.7748994e+00
1.3050000e-05,3.9541398e+00,2.7260041e+00
1.3100000e-05,3.9643727e+00,2.6764463e+00
1.3150000e-05,3.9719501e+00,2.6264450e+00
1.3200000e-05,3.9769174e+00,2.5762172e+00
1.3250000e-05,3.9793228e+00,2.5259764e+00
1.3300000e-05,3.9792208e+00,2.4759335e+00
1.3350000e-05,3.9766692e+00,2.4262952e+00
1.3400000e-05,3.9717294e+00,2.3772648e+00
1.3450000e-05,3.9644674e+00,2.3290411e+00
1.3500000e-05,3.9549512e+00,2.2818189e+00
1.3550000e-05,3.9432519e+00,2.2357879e+00
1.3600000e-05,3.9294432e+00,2.1911336e+00
1.3650000e-05,3.9136011e+00,2.1480363e+00
1.3700000e-05,3.8958021e+00,2.1066713e+00
1.3750000e-05,3.8761248e+00,2.0672088e+00
1.3800000e-05,3.8546480e+00,2.0298140e+00
1.3850000e-05,3.8314497e+00,1.9946465e+00
1.3900000e-05,3.8066084e+00,1.9618608e+00
1.3950000e-05,3.7802017e+00,1.9316066e+00
1.4000000e-05,3.7523052e+00,1.9040280e+00
1.4050000e-05,3.7230073e+00,1.8792206e+00
1.4100000e-05,3.6924530e+00,1.8571017e+00
1.4150000e-05,3.6607982e+00,1.8375446e+00
1.4200000e-05,3.6281920e+00,1.8204223e+00
1.4250000e-05,3.5947803e+00,1.8056090e+00
1.4300000e-05,3.5607044e+00,1.7929796e+00
1.4350000e-05,3.5261008e+00,1.7824104e+00
1.4400000e-05,3.4911026e+00,1.7737794e+00
1.4450000e-05,3.4558398e+00,1.7669667e+00
1.4500000e-05,3.4204383e+00,1.7618545e+00
1.4550000e-05,3.3850221e+00,1.7583277e+00
1.4600000e-05,3.3497115e+00,1.7562736e+00
1.4650000e-05,3.3146254e+00,1.7555825e+00
1.4700000e-05,3.2798806e+00,1.7561478e+00
1.4750000e-05,3.2455909e+00,1.7578658e+00
1.4800000e-05,3.2118698e+00,1.7606360e+00
1.4850000e-05,3.1788292e+00,1.7643612e+00
1.4900000e-05,3.1465793e+00,1.7689472e+00
1.4950000e-05,3.1152304e+00,1.7743034e+00
1.5000000e-05,3.0848921e+00,1.7803418e+00
1.5050000e-05,3.0556455e+00,1.7869899e+00
1.5100000e-05,3.0274614e+00,1.7942253e+00
1.5150000e-05,3.0002844e+00,1.8020379e+00
1.5200000e-05,2.9740604e+00,1.8104181e+00
1.5250000e-05,2.9487354e+00,1.8193559e+00
1.5300000e-05,2.9242571e+00,1.8288412e+00
1.5350000e-05,2.9005736e+00,1.8388642e+00
1.5400000e-05,2.8776344e+00,1.8494150e+00
1.5450000e-05,2.8553888e+00,1.8604832e+00
1.5500000e-05,2.8337876e+00,1.8720588e+00
1.5550000e-05,2.8127821e+00,1.8841314e+00
1.5600000e-05,2.7923241e+00,1.8966904e+00
1.5650000e-05,2.7723662e+00,1.9097252e+00
1.5700000e-05,2.7528607e+00,1.9232248e+00
1.5750000e-05,2.7337616e+00,1.9371779e+00
1.5800000e-05,2.7150224e+00,1.9515733e+00
1.5850000e-05,2.6965972e+00,1.9663990e+00
1.5900000e-05,2.6784413e+00,1.9816431e+00
1.5950000e-05,2.6605095e+00,1.9972933e+00
1.6000000e-05,2.6427566e+00,2.0133366e+00
1.6050000e-05,2.6251486e+00,2.0297611e+00
1.6100000e-05,2.6076902e+00,2.0465591e+00
1.6150000e-05,2.5903969e+00,2.0637244e+00
1.6200000e-05,2.5732834e+00,2.0812512e+00
1.6250000e-05,2.5563646e+00,2.0991340e+00
1.6300000e-05,2.5396563e+00,2.1173680e+00
1.6350000e-05,2.5231735e+00,2.1359483e+00
1.6400000e-05,2.5069316e+00,2.1548710e+00
1.6450000e-05,2.4909466e+00,2.1741323e+00
1.6500000e-05,2.4752342e+00,2.1937289e+00
1.6550000e-05,2.4598103e+00,2.2136579e+00
1.6600000e-05,2.4446913e+00,2.2339167e+00
1.6650000e-05,2.4298935e+00,2.2545030e+00
1.6700000e-05,2.4154341e+00,2.2754156e+00
1.6750000e-05,2.4013294e+00,2.2966527e+00
1.6800000e-05,2.3875966e+00,2.3182132e+00
1.6850000e-05,2.3742541e+00,2.3400972e+00
1.6900000e-05,2.3613187e+00,2.3623037e+00
1.6950000e-05,2.3488092e+00,2.3848333e+00
1.7000000e-05,2.3367440e+00,2.4076864e+00
1.7050000e-05,2.3251376e+00,2.4308619e+00
1.7100000e-05,2.3139886e+00,2.4543527e+00
1.7150000e-05,2.3032905e+00,2.4781490e+00
1.7200000e-05,2.2930388e+00,2.5022416e+00
1.7250000e-05,2.2832286e+00,2.5266210e+00
1.7300000e-05,2.2738548e+00,2.5512773e+00
1.7350000e-05,2.2649137e+00,2.5762008e+00
1.7400000e-05,2.2564015e+00,2.6013814e+00
1.7450000e-05,2.2483145e+00,2.6268088e+00
1.7500000e-05,2.2406496e+00,2.6524725e+00
1.7550000e-05,2.2334041e+00,2.6783621e+00
1.7600000e-05,2.2265755e+00,2.7044665e+00
1.7650000e-05,2.2201618e+00,2.7307748e+00
1.7700000e-05,2.2141607e+00,2.7572755e+00
1.7750000e-05,2.2085708e+00,2.7839571e+00
1.7800000e-05,2.2033907e+00,2.8108077e+00
1.7850000e-05,2.1986194e+00,2.8378153e+00
1.7900000e-05,2.1942563e+00,2.8649676e+00
1.7950000e-05,2.1903008e+00,2.8922520e+00
1.8000000e-05,2.1867519e+00,2.9196552e+00
1.8050000e-05,2.1836122e+00,2.9471649e+00
1.8100000e-05,2.1808919e+00,2.9747708e+00
1.8150000e-05,2.1786041e+00,3.0024634e+00
1.8200000e-05,2.1767614e+00,3.0302325e+00
1.8250000e-05,2.1753772e+00,3.0580681e+00
1.8300000e-05,2.1744651e+00,3.0859601e+00
1.8350000e-05,2.1740396e+00,3.1138983e+00
1.8400000e-05,2.1741144e+00,3.1418718e+00
1.8450000e-05,2.1747037e+00,3.1698698e+00
1.8500000e-05,2.1758232e+00,3.1978816e+00
1.8550000e-05,2.1774873e+00,3.2258959e+00
1.8600000e-05,2.1797112e+00,3.2539010e+00
1.8650000e-05,2.1825109e+00,3.2818855e+00
1.8700000e-05,2.1859019e+00,3.3098372e+00
1.8750000e-05,2.1899002e+00,3.3377440e+00
1.8800000e-05,2.1945221e+00,3.3655933e+00
1.8850000e-05,2.1997843e+00,3.3933724e+00
1.8900000e-05,2.2057036e+00,3.4210683e+00
1.8950000e-05,2.2122964e+00,3.4486672e+00
1.9000000e-05,2.2195802e+00,3.4761558e+00
1.9050000e-05,2.2275642e+00,3.5035210e+00
1.9100000e-05,2.2362245e+00,3.5307543e+00
1.9150000e-05,2.2455299e+00,3.5578484e+00
1.9200000e-05,2.2554473e+00,3.5847952e+00
1.9250000e-05,2.2659442e+00,3.6115865e+00
1.9300000e-05,2.2769864e+00,3.6382135e+00
1.9350000e-05,2.2885407e+00,3.6646674e+00
1.9400000e-05,2.3005715e+00,3.6909390e+00
1.9450000e-05,2.3130439e+00,3.7170183e+00
1.9500000e-05,2.3259223e+00,3.7428963e+00
1.9550000e-05,2.3391700e+00,3.7685631e+00
1.9600000e-05,2.3527508e+00,3.7940080e+00
1.9650000e-05,2.3666263e+00,3.8192212e+00
1.9700000e-05,2.3807587e+00,3.8441923e+00
1.9750000e-05,2.3951097e+00,3.8689109e+00
1.9800000e-05,2.4096398e+00,3.8933656e+00
1.9850000e-05,2.4243090e+00,3.9175464e+00
1.9900000e-05,2.4390774e+00,3.9414422e+00
1.9950000e-05,2.4539044e+00,3.9650425e+00
2.0000000e-05,2.4687480e+00,3.9883360e+00
2.0050000e-05,2.4835737e+00,4.0113138e+00
2.0100000e-05,2.4983744e+00,4.0339743e+00
2.0150000e-05,2.5131500e+00,4.0563186e+00
2.0200000e-05,2.5279003e+00,4.0783474e+00
2.0250000e-05,2.5426250e+00,4.1000611e+00
2.0300000e-05,2.5573238e+00,4.1214616e+00
2.0350000e-05,2.5719970e+00,4.1425496e+00
2.0400000e-05,2.5866444e+00,4.1633258e+00
2.0450000e-05,2.6012649e+00,4.1837919e+00
2.0500000e-05,2.6158596e+00,4.2039491e+00
2.0550000e-05,2.6304277e+00,4.2237989e+00
2.0600000e-05,2.6449689e+00,4.2433424e+00
2.0650000e-05,2.6594834e+00,4.2625817e+00
2.0700000e-05,2.6739708e+00,4.2815180e+00
2.0750000e-05,2.6884308e+00,4.3001534e+00
2.0800000e-05,2.7028638e+00,4.3184893e+00
2.0850000e-05,2.7172694e+00,4.3365275e+00
2.0900000e-05,2.7316471e+00,4.3542703e+00
2.0950000e-05,2.7459972e+00,4.3717190e+00
2.1000000e-05,2.7603193e+00,4.3888771e+00
2.1050000e-05,2.7746134e+00,4.4057448e+00
2.1100000e-05,2.7888794e+00,4.4223258e+00
2.1150000e-05,2.8031166e+00,4.4386218e+00
2.1200000e-05,2.8173255e+00,4.4546348e+00
2.1250000e-05,2.8315060e+00,4.4703674e+00
2.1300000e-05,2.8456578e+00,4.4858229e+00
2.1350000e-05,2.8597805e+00,4.5010022e+00
2.1400000e-05,2.8738747e+00,4.5159088e+00
2.1450000e-05,2.8879398e+00,4.5305458e+00
2.1500000e-05,2.9019757e+00,4.5449145e+00
2.1550000e-05,2.9159819e+00,4.5590189e+00
2.1600000e-05,2.9299595e+00,4.5728610e+00
2.1650000e-05,2.9439077e+00,4.5864438e+00
2.1700000e-05,2.9578262e+00,4.5997701e+00
2.1750000e-05,2.9717153e+00,4.6128434e+00
2.1800000e-05,2.9855751e+00,4.6256662e+00
2.1850000e-05,2.9994051e+00,4.6382409e+00
2.1900000e-05,3.0132059e+00,4.6505719e+00
2.1950000e-05,3.0269766e+00,4.6626614e+00
2.2000000e-05,3.0407182e+00,4.6745126e+00
2.2050000e-05,3.0544297e+00,4.6861294e+00
2.2100000e-05,3.0681119e+00,4.6975138e+00
2.2150000e-05,3.0817641e+00,4.7086705e+00
2.2200000e-05,3.0953870e+00,4.7196015e+00
2.2250000e-05,3.1089806e+00,4.7303114e+00
2.2300000e-05,3.1225442e+00,4.7408027e+00
2.2350000e-05,3.1360789e+00,4.7510794e+00
2.2400000e-05,3.1495838e+00,4.7611445e+00
2.2450000e-05,3.1630600e+00,4.7710019e+00
2.2500000e-05,3.1765066e+00,4.7806547e+00
2.2550000e-05,3.1899241e+00,4.7901073e+00
2.2600000e-05,3.2033127e+00,4.7993624e+00
2.2650000e-05,3.2166723e+00,4.8084240e+00
2.2700000e-05,3.2300030e+00,4.8172961e+00
2.2750000e-05,3.2433054e+00,4.8259824e+00
2.2800000e-05,3.2565792e+00,4.8344857e+00
2.2850000e-05,3.2698248e+00,4.8428113e+00
2.2900000e-05,3.2830425e+00,4.8509618e+00
2.2950000e-05,3.2962322e+00,4.8589416e+00
2.3000000e-05,3.3093940e+00,4.8667540e+00
2.3050000e-05,3.3225286e+00,4.8744038e+00
2.3100000e-05,3.3356362e+00,4.8818943e+00
2.3150000e-05,3.3487163e+00,4.8892294e+00
2.3200000e-05,3.3617700e+00,4.8964132e+00
2.3250000e-05,3.3747971e+00,4.9034499e+00
2.3300000e-05,3.3877979e+00,4.9103431e+00
2.3350000e-05,3.4007727e+00,4.9170975e+00
2.3400000e-05,3.4137224e+00,4.9237164e+00
2.3450000e-05,3.4266463e+00,4.9302045e+00
2.3500000e-05,3.4395457e+00,4.9365655e+00
2.3550000e-05,3.4524207e+00,4.9428037e+00
2.3600000e-05,3.4652708e+00,4.9489233e+00
2.3650000e-05,3.4780974e+00,4.9549282e+00
2.3700000e-05,3.4909010e+00,4.9608228e+00
2.3750000e-05,3.5036811e+00,4.9666115e+00
2.3800000e-05,3.5164386e+00,4.9722984e+00
2.3850000e-05,3.5291736e+00,4.9778878e+00
2.3900000e-05,3.5418876e+00,4.9833834e+00
2.3950000e-05,3.5545795e+00,4.9887901e+00
2.4000000e-05,3.5672510e+00,4.9941125e+00
2.4050000e-05,3.5799021e+00,4.9993541e+00
2.4100000e-05,3.5925333e+00,5.0045199e+00
2.4150000e-05,3.6051453e+00,5.0096138e+00
2.4200000e-05,3.6177385e+00,5.0146403e+00
2.4250000e-05,3.6303129e+00,5.0196039e+00
2.4300000e-05,3.6428703e+00,5.0245090e+00
2.4350000e-05,3.6554101e+00,5.0293596e+00
2.4400000e-05,3.6679335e+00,5.0341608e+00
2.4450000e-05,3.6804409e+00,5.0389169e+00
2.4500000e-05,3.6929330e+00,5.0436325e+00
2.4550000e-05,3.7054102e+00,5.0483114e+00
2.4600000e-05,3.7178735e+00,5.0529586e+00
2.4650000e-05,3.7303236e+00,5.0575784e+00
2.4700000e-05,3.7427600e+00,5.0621756e+00
2.4750000e-05,3.7551852e+00,5.0667543e+00
2.4800000e-05,3.7675985e+00,5.0713200e+00
2.4850000e-05,3.7800010e+00,5.0758760e+00
2.4900000e-05,3.7923938e+00,5.0804279e+00
2.4950000e-05,3.8047773e+00,5.0849794e+00
2.5000000e-05,3.8171520e+00,5.0895360e+00
2.5050000e-05,3.8295191e+00,5.0941011e+00
2.5100000e-05,3.8418778e+00,5.0986750e+00
2.5150000e-05,3.8542292e+00,5.1032578e+00
2.5200000e-05,3.8665724e+00,5.1078491e+00
2.5250000e-05,3.8789076e+00,5.1124484e+00
2.5300000e-05,3.8912354e+00,5.1170557e+00
2.5350000e-05,3.9035544e+00,5.1216703e+00
2.5400000e-05,3.9158658e+00,5.1262923e+00
2.5450000e-05,3.9281690e+00,5.1309215e+00
2.5500000e-05,3.9404637e+00,5.1355573e+00
2.5550000e-05,3.9527502e+00,5.1401992e+00
2.5600000e-05,3.9650285e+00,5.1448470e+00
2.5650000e-05,3.9772986e+00,5.1495011e+00
2.5700000e-05,3.9895602e+00,5.1541603e+00
2.5750000e-05,4.0018134e+00,5.1588249e+00
